County,Agency
Cattaraugus,Cattaraugus County Sheriff
Nassau,Floral Park Vg PD
Montgomery,St Johnsville Vg PD
Yates,Yates County State Police
Westchester,Ossining Town PD
Montgomery,Amsterdam City PD
Wayne,Palmyra Vg PD
Erie,Erie County Park PD
Livingston,Caledonia Vg PD
Rockland,Rockland County State Police
Schuyler,Schuyler County State Police
Nassau,Glen Cove City PD
Ulster,Saugerties Vg PD
Monroe,Brighton Town PD
Cattaraugus,Cattaraugus County Park PD
Yates,Yates County Sheriff
Dutchess,Wappingers Falls Vg PD
Westchester,Bronxville Vg PD
Rockland,Rockland County Park PD
Clinton,Champlain Vg PD
Nassau,Long Beach City PD
Chautauqua,Fredonia Vg PD
Tompkins,Ithaca City PD
Oswego,Fulton City PD
Livingston,Geneseo Vg PD
Suffolk,Ocean Beach Vg PD
Tioga,Owego Vg PD
Schoharie,Schoharie County State Police
Suffolk,Southampton Vg PD
Albany,Altamont Vg PD
Rensselaer,Rensselaer Poly Tech Police
Richmond,County Total
Broome,Port Dickinson Vg PD
Monroe,Monroe County (RR-CSX)
Erie,East Aurora-Town Of Aurora PD
Schenectady,Glenville Town PD
Chautauqua,Westfield Vg PD
Madison,Madison County Sheriff
Columbia,Columbia County (RR-RC)
Broome,Port Dickinson Vg PD
Orleans,Orleans County State Police
Albany,Green Island Vg PD
Chenango,New Berlin Town PD
Suffolk,Suffolk County MTA
Seneca,Waterloo Vg PD
Delaware,Delhi Vg PD
Broome,Port Dickinson Vg PD
Ulster,Woodstock Town PD
Suffolk,Suffolk County (RR-LI)
Monroe,Monroe County (RR-RC)
Cattaraugus,Cattaraugus County Sheriff
Oneida,Boonville Vg PD
Madison,Madison County Sheriff
Erie,East Aurora-Town Of Aurora PD
St Lawrence,Norwood Vg PD
Erie,SUNY College At Buffalo
Albany,Colonie Town PD
Orange,Montgomery Town PD
Steuben,Hornell City PD
Cayuga,Cayuga County State Police
Oneida,Sherrill City PD
Orange,Warwick Town PD
Suffolk,Southampton Town PD
Seneca,County Total
Delaware,Sidney Vg PD
Jefferson,Jefferson County Park PD
Orange,Greenwood Lake Vg PD
Dutchess,Dutchess County State Police
Westchester,SUNY College at Purchase
Westchester,White Plains City PD
Onondaga,Onondaga County State Police
Greene,Greene County Sheriff
Albany,Albany County (RR-RC)
Westchester,Rye Brook Vg PD
Lewis,Lewis County Sheriff
Niagara,North Tonawanda City PD
Ulster,Saugerties Town PD
Oneida,Utica City PD
Saratoga,Saratoga County Park PD
Onondaga,Manlius Town PD
Chautauqua,SUNY College at Fredonia
Westchester,Larchmont Vg PD
Jefferson,Adams Vg PD
Onondaga,Manlius Town PD
Orleans,Orleans County Park PD
Suffolk,Suffolk County MTA
Dutchess,Fishkill Town PD
Cayuga,County Total
Broome,Special Investigator Task Force
Westchester,Rye City PD
Ontario,Canandaigua City PD
Chenango,Chenango County Sheriff
Schenectady,Schenectady County State Police
Steuben,Addison Vg PD
Saratoga,Saratoga County Sheriff
Steuben,Hornell City PD
Montgomery,County Total
Columbia,Copake Town PD
Delaware,Colchester Town PD
Orange,Cornwall-On-Hudson Vg PD
Jefferson,Jefferson County (RR-RC)
Delaware,Delaware County (RR-D and H)
Tompkins,Cayuga Heights Vg PD
Fulton,Johnstown City PD
Westchester,White Plains City PD
Yates,Penn Yan Vg PD
Allegany,County Total
Chautauqua,Silver Creek Vg PD
Washington,Greenwich Vg PD
Ontario,Geneva City PD
Ulster,Ulster County Sheriff
Nassau,Rockville Centre Vg PD
Otsego,Cooperstown Vg PD
Suffolk,Head-of-the-Harbor Vg PD
Rensselaer,Rensselaer County Sheriff
Livingston,Livingston County Park PD
Erie,Eden Town PD
Tompkins,Cornell University Police
Washington,Fort Edward Vg PD
Jefferson,County Total
Orange,Highlands Town PD
Wayne,Clyde Vg PD
Cattaraugus,Allegany Vg PD
Schuyler,Schuyler County Sheriff
Wayne,Wayne County State Police
Genesee,Genesee County (RR-CSX)
St Lawrence,Norwood Vg PD
Ontario,Geneva City PD
Franklin,Tupper Lake Vg PD
Onondaga,Onondaga County Park Rangers
Columbia,Columbia County Sheriff
Rockland,Clarkstown Town PD
Westchester,Harrison Town PD
Orange,Newburgh City PD
Oswego,Central Square Vg PD
Tompkins,Trumansburg Vg PD
Seneca,Seneca County Park PD
Ulster,New Paltz Town and Vg PD
Seneca,Waterloo Vg PD
Suffolk,Westhampton Beach Vg PD
Nassau,Nassau County Park PD
Sullivan,Woodridge Vg PD
Westchester,Yonkers City PD
Nassau,Nassau County Park PD
Orange,Newburgh Town PD
Chemung,County Total
Chautauqua,Dunkirk City PD
Erie,Gowanda Vg PD
Allegany,Friendship Town PD
Schenectady,Scotia Vg PD
Jefferson,Clayton Vg PD
Dutchess,Red Hook Vg PD
Madison,Chittenango Vg PD
Cayuga,Cayuga County State Police
Suffolk,Riverhead Town PD
Schoharie,SUNY College At Cobleskill
Oswego,Oswego City PD
Suffolk,Riverhead Town PD
Tioga,County Total
Orange,Woodbury Town PD
Allegany,SUNY College at Alfred
Rockland,Clarkstown Town PD
Steuben,Addison Vg PD
Nassau,Mill Neck Vg PD
Dutchess,Millbrook Vg PD
Schenectady,Schenectady City PD
Putnam,Putnam County State Police
Sullivan,Sullivan County State Police
St Lawrence,Norfolk Town PD
Orleans,Orleans County Park PD
Oneida,Oneida County Sheriff
Tompkins,Ithaca City PD
Chautauqua,Silver Creek Vg PD
Dutchess,Pine Plains Town PD
Fulton,County Total
Allegany,Alfred Vg PD
Wayne,Lyons Vg PD
Nassau,Nassau County State Police
Broome,Broome County Sheriff
Dutchess,County Total
Albany,Bethlehem Town PD
Niagara,County Total
Rockland,Ramapo Town PD
Madison,SUNY College At Morrisville
Erie,Orchard Park Town PD
Dutchess,Dutchess County (RR-MN)
Ulster,Shawangunk Town PD
St Lawrence,Canton Vg PD
Nassau,Garden City Vg PD
Wyoming,County Total
Ontario,Ontario County Sheriff
Allegany,Alfred Vg PD
Washington,Washington County Park PD
Westchester,Larchmont Vg PD
Delaware,Colchester Town PD
Ontario,County Total
Ulster,Ellenville Vg PD
Chemung,Chemung County State Police
Westchester,Hastings-on-Hudson Vg PD
Broome,Broome County (RR-RC) 
Erie,Erie County Sheriff
Westchester,Dobbs Ferry Vg PD
Orange,Deerpark Town PD
Nassau,Sands Point Vg PD
Fulton,Northville Vg PD
Herkimer,Herkimer County (RR-RC)
Dutchess,Poughkeepsie City PD
Oneida,Oneida County Park PD
Washington,Greenwich Vg PD
Ulster,Olive Town PD
Westchester,Mount Vernon City PD
Onondaga,Onondaga County State Police
Livingston,Dansville Vg PD
Erie,Evans Town PD
Chenango,Afton Vg PD
Westchester,Port Chester Vg PD
Rockland,Orangetown Town PD
Suffolk,Head-of-the-Harbor Vg PD
Tioga,Tioga County Sheriff
Ulster,Ellenville Vg PD
Oswego,County Total
Suffolk,Nissequogue Vg PD
Jefferson,Clayton Vg PD
Westchester,Mamaroneck Town PD
Seneca,Seneca County Park PD
Albany,Albany City PD
Westchester,Ossining Vg PD
Orange,County Total
Orange,Montgomery Town PD
Steuben,Wayland Vg PD
Suffolk,Southampton Town PD
Chemung,Elmira City PD
Wyoming,Wyoming County Park PD
Oswego,Pulaski Vg PD
Nassau,Floral Park Vg PD
Orange,Orange County (RR-RC) 
Oswego,Pulaski Vg PD
Columbia,Greenport Town PD
Nassau,Nassau County MTA
Chautauqua,Carroll Town PD
Onondaga,Skaneateles Vg PD
Suffolk,Suffolk County Sheriff
Columbia,Chatham Vg PD
Livingston,County Total
Steuben,Caton Town PD
Orange,Orange County Park PD
Madison,Madison County Park PD
Clinton,County Total
Wayne,County Total
Wyoming,Attica Vg PD
Orleans,County Total
Oneida,Sherrill City PD
Cattaraugus,Allegany Vg PD
Madison,Madison County State Police
Cattaraugus,Cattaraugus Vg PD
Monroe,Fairport Vg PD
Fulton,Fulton County Sheriff
Suffolk,Riverhead Town PD
Broome,Broome County State Police
Niagara,Middleport Vg PD
Chenango,Sherburne Vg PD
Otsego,Otsego County Park PD
Nassau,Hempstead Vg PD
Schoharie,Schoharie Vg PD
Monroe,Monroe County Sheriff
Ulster,Rosendale Town PD
St Lawrence,St Lawrence County Sheriff
Sullivan,Neversink PCT (NYC-DEPP)
Sullivan,Sullivan County State Police
Erie,Brant Town PD
Chemung,Elmira City PD
Westchester,Hillview PCT (NYC-DEPP)
Orange,Walden Vg PD
Nassau,Freeport Vg PD
St Lawrence,St Lawrence County Sheriff
Madison,Madison County State Police
Ulster,Olive Town PD
Orange,Newburgh Town PD
Washington,Greenwich Vg PD
Dutchess,Millerton Vg PD
Herkimer,Frankfort Town PD
Rockland,South Nyack-Grand View PD
Greene,Coxsackie Vg PD
Erie,Lackawanna City PD
Ulster,Plattekill Town PD
Erie,Buffalo City PD
Putnam,Brewster Vg PD
Westchester,Irvington Vg PD
Cayuga,Cayuga County State Police
Erie,East Aurora-Town Of Aurora PD
Herkimer,Ilion Vg PD
Oswego,Central Square Vg PD
Westchester,Yonkers City PD
Dutchess,Millerton Vg PD
Orange,Washingtonville Vg PD
Onondaga,Syracuse City PD
Yates,Yates County Sheriff
Erie,Hamburg Town PD
Schuyler,Schuyler County State Police
Orange,Montgomery Vg PD
Essex,Essex County State Police
Orleans,Medina Vg PD
Montgomery,Amsterdam City PD
Montgomery,Fort Plain Vg PD
Ulster,Saugerties Town PD
Delaware,Beerston PCT (NYC-DEPP)
St Lawrence,St Lawrence County Sheriff
Sullivan,Neversink PCT (NYC-DEPP)
Herkimer,Herkimer County Sheriff
Allegany,Allegany County State Police
Chautauqua,Lakewood-Busti PD
Monroe,Monroe County Sheriff
Ulster,Ashokan PCT (NYC-DEPP)
Rensselaer,Nassau Vg PD
Delaware,Delhi Vg PD
Wyoming,Wyoming County Park PD
Ulster,Marlborough Town PD
Allegany,Independence Town PD
Westchester,Dobbs Ferry Vg PD
Cattaraugus,Olean City PD
Seneca,Waterloo Vg PD
Onondaga,Baldwinsville Vg PD
Franklin,Malone Vg PD
Oneida,New York Mills Vg PD
Onondaga,Manlius Town PD
Albany,Cohoes City PD
Nassau,Old Westbury Vg PD
Livingston,Mount Morris Vg PD
Schoharie,Schoharie PCT (NYC-DEPP)
Westchester,North Castle Town PD
Herkimer,Frankfort Vg PD
Suffolk,Nissequogue Vg PD
Dutchess,Red Hook Vg PD
Sullivan,Neversink PCT (NYC-DEPP)
Schoharie,Schoharie PCT (NYC-DEPP)
Putnam,Kent Town PD
Warren,Glens Falls City PD
Clinton,County Total
Albany,Altamont Vg PD
Montgomery,St Johnsville Vg PD
Chautauqua,Chautauqua County State Police
Madison,Cazenovia Vg PD
Dutchess,Poughkeepsie Town PD
Nassau,Oyster Bay Cove Vg PD
Suffolk,Huntington Bay Vg PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
St Lawrence,Gouverneur Vg PD
Cattaraugus,Portville Vg PD
Madison,Madison County Park PD
Rensselaer,East Greenbush Town PD
Ulster,Lloyd Town PD
Erie,Cheektowaga Town PD
Genesee,Genesee County Sheriff
Westchester,Pound Ridge Town PD
Westchester,Mount Kisco Vg PD
Erie,Evans Town PD
Montgomery,St Johnsville Vg PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
Orange,Harriman Vg PD
Broome,Binghamton City PD
St Lawrence,St Lawrence County Park PD
Suffolk,Asharoken Vg PD
Orange,Chester Vg PD
St Lawrence,St Lawrence County State Police
Otsego,Otsego County Sheriff
Orleans,Holley Vg PD
Warren,County Total
Dutchess,Fishkill Vg PD
Chenango,Sherburne Vg PD
Fulton,Gloversville City PD
Oswego,Oswego City PD
Westchester,Tuckahoe Vg PD
Broome,Binghamton City PD
St Lawrence,St Lawrence County Sheriff
Westchester,Briarcliff Manor Vg PD
Putnam,Carmel Town PD
Montgomery,St Johnsville Vg PD
Ulster,Ashokan PCT (NYC-DEPP)
Clinton,Clinton County State Police
Schoharie,Schoharie Vg PD
Steuben,Corning City PD
Orleans,Orleans County Park PD
Erie,Erie County State Police
Orange,Montgomery Town PD
St Lawrence,St Lawrence County Park PD
Fulton,Fulton County State Police
Jefferson,Carthage Vg PD
Steuben,Canisteo Vg PD
Nassau,Old Brookville Vg PD
Orange,Port Jervis City PD
Oneida,Whitesboro Vg PD
Onondaga,DeWitt Town PD
Nassau,Floral Park Vg PD
Warren,Bolton Town PD
Livingston,Caledonia Vg PD
Monroe,Monroe County Park PD
Dutchess,Millerton Vg PD
Tompkins,Cayuga Heights Vg PD
Onondaga,Onondaga County State Police
Jefferson,Glen Park Vg PD
Chemung,Elmira Town PD
Suffolk,Northport Vg PD
St Lawrence,St Lawrence County State Police
Orange,Orange County Park PD
Wyoming,Attica Vg PD
Dutchess,Pine Plains Town PD
Washington,Fort Edward Vg PD
Ulster,Ashokan PCT (NYC-DEPP)
Greene,Windham Town PD
Westchester,County Total
Niagara,Lewiston Town PD
St Lawrence,St Lawrence County Sheriff
Westchester,Scarsdale Vg PD
Westchester,New Castle Town PD
Seneca,County Total
Nassau,Sands Point Vg PD
Monroe,Fairport Vg PD
Ontario,Geneva City PD
St Lawrence,St Lawrence County Park PD
Ulster,Ashokan PCT (NYC-DEPP)
Suffolk,Suffolk County MTA
Nassau,Kings Point Vg PD
Westchester,Sleepy Hollow Vg PD
Westchester,Larchmont Vg PD
Westchester,Mount Pleasant Town PD
Chautauqua,Carroll Town PD
Schenectady,Scotia Vg PD
Nassau,Lake Success Vg PD
Cayuga,Cayuga County Park PD
Fulton,Northville Vg PD
Fulton,Johnstown City PD
Ontario,Ontario County Sheriff
Wayne,Sodus Vg PD
Essex,Moriah Town PD
Dutchess,Dutchess County Park PD
Nassau,Centre Island Vg PD
Livingston,Geneseo Vg PD
Cattaraugus,Olean City PD
St Lawrence,St Lawrence County Park PD
Nassau,Rockville Centre Vg PD
Otsego,Otsego County Sheriff
Monroe,Irondequoit Town PD
Nassau,Long Beach City PD
Westchester,Westchester County MTA
Putnam,Putnam County State Police
Oneida,Camden Vg PD
St Lawrence,St Lawrence County Park PD
Wyoming,Perry Vg PD
Chenango,Bainbridge Vg PD
Erie,Hamburg Vg PD
Greene,Durham Town PD
Chautauqua,Ellicott Town PD
Warren,Warren County State Police
Jefferson,Watertown City PD
Steuben,Cohocton Town PD
Clinton,Rouses Point Vg PD
Ulster,Ashokan PCT (NYC-DEPP)
Erie,Amherst Town PD
Steuben,Steuben County State Police
Cortland,Cortland County State Police
Ulster,Ashokan PCT (NYC-DEPP)
Allegany,Cuba Town PD
Westchester,Ardsley Vg PD
Rockland,Suffern Vg PD
Montgomery,St Johnsville Vg PD
Rensselaer,Schodack Town PD
Tioga,Tioga County Sheriff
Rensselaer,Rensselaer County State Police
Orange,Chester Town PD
Westchester,Ossining Vg PD
Columbia,Stockport Town PD
Delaware,Delaware County State Police
Broome,Port Dickinson Vg PD
Ontario,Ontario County Park PD
Essex,Ticonderoga Town PD
Tioga,Owego Vg PD
Lewis,Lewis County State Police
Orange,Wallkill Town PD
Washington,Washington County State Police
Delaware,Beerston PCT (NYC-DEPP)
Tompkins,Dryden Vg PD
Sullivan,Neversink PCT (NYC-DEPP)
Suffolk,Suffolk County Sheriff
Allegany,Allegany County Sheriff
Montgomery,St Johnsville Vg PD
Orange,Deerpark Town PD
Allegany,Andover Vg PD
St Lawrence,St Lawrence County Park PD
Tompkins,Ithaca College PD
Dutchess,Wappingers Falls Vg PD
Saratoga,Stillwater Town PD
Westchester,Hillview PCT (NYC-DEPP)
Suffolk,Suffolk County State Police
Oswego,Oswego County Park PD
Nassau,Nassau County State Police
Niagara,Lockport City PD
Sullivan,Neversink PCT (NYC-DEPP)
Orange,New Windsor Town PD
Hamilton,Inlet Town PD
St Lawrence,St Lawrence County State Police
Cayuga,Weedsport Vg PD
Allegany,Alfred Vg PD
Herkimer,Dolgeville Vg PD
St Lawrence,St Lawrence County State Police
Montgomery,St Johnsville Vg PD
Montgomery,St Johnsville Vg PD
Washington,Cambridge Vg PD
St Lawrence,St Lawrence County Park PD
Albany,Coeymans Town PD
Onondaga,Onondaga County Park Rangers
Oneida,Sherrill City PD
Madison,Oneida City PD
Westchester,Port Chester Vg PD
Orange,Tuxedo Town PD
Sullivan,Neversink PCT (NYC-DEPP)
Seneca,Waterloo Vg PD
Wayne,Sodus Point Vg PD
Tompkins,Tompkins County Sheriff
Rockland,Rockland County Park PD
Columbia,Chatham Vg PD
Greene,Greene County Sheriff
Westchester,Elmsford Vg PD
Orange,Newburgh City PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
St Lawrence,St Lawrence County Park PD
Cayuga,Cayuga County Sheriff
Delaware,Beerston PCT (NYC-DEPP)
Cortland,County Total
Erie,Akron Vg PD
Dutchess,Dutchess County State Police
Sullivan,Neversink PCT (NYC-DEPP)
Albany,Menands Vg PD
Warren,Warren County Sheriff
Chemung,Chemung County Sheriff
Erie,Tonawanda Town PD
Orange,Cornwall Town PD
Rensselaer,Hoosick Falls Vg PD
Chenango,Chenango County State Police
Erie,Tonawanda City PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
Yates,Yates County State Police
Niagara,Middleport Vg PD
Albany,Watervliet City PD
St Lawrence,St Lawrence County (RR-CSX)
Rockland,Stony Point Town PD
Oswego,Pulaski Vg PD
Dutchess,Fishkill Town PD
Broome,Broome County State Police
Schuyler,Schuyler County Park PD
Chemung,Chemung County Park PD
Erie,Gowanda Vg PD
Ulster,Ashokan PCT (NYC-DEPP)
Niagara,Niagara County State Police
Ulster,Ashokan PCT (NYC-DEPP)
Westchester,Croton-Kensico PCT (NYC-DEPP)
Westchester,Croton-Kensico PCT (NYC-DEPP)
Genesee,Batavia City PD
St Lawrence,St Lawrence County Sheriff
Hamilton,Hamilton County Sheriff
Orange,Warwick Town PD
Westchester,Westchester County MTA
St Lawrence,St Lawrence County Sheriff
Schenectady,Rotterdam Town PD
Westchester,Peekskill City PD
Albany,Albany County Sheriff
Tompkins,Groton Vg PD
Jefferson,Dexter Vg PD
Schenectady,Schenectady County Sheriff
Wyoming,Wyoming County State Police
Oneida,Boonville Vg PD
Nassau,Nassau County PD
Chemung,Horseheads Vg PD
St Lawrence,St Lawrence County Park PD
Onondaga,Onondaga County Park PD
Tioga,Tioga County State Police
Westchester,Croton-On-Hudson Vg PD
St Lawrence,St Lawrence County State Police
Westchester,Yonkers City PD
Suffolk,Westhampton Beach Vg PD
Onondaga,Camillus Town and Vg PD
Suffolk,Sag Harbor Vg PD
Dutchess,Dutchess County MTA
Ulster,Kingston City PD
Chenango,New Berlin Town PD
Westchester,Harrison Town PD
Rockland,Rockland County State Police
Broome,County Total
Cayuga,Moravia Vg PD
Chenango,Chenango County Sheriff
Onondaga,Onondaga County Sheriff
Fulton,Fulton County Sheriff
Jefferson,Jefferson County Sheriff
Dutchess,Poughkeepsie City PD
Chenango,Chenango County Park PD
Orange,Greenwood Lake Vg PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
Columbia,Columbia County State Police
Tioga,Waverly Vg PD
Essex,Lake Placid Vg PD
Cortland,Cortland County Sheriff
Otsego,Oneonta City PD
Nassau,Hempstead Vg PD
Ulster,Ellenville Vg PD
Suffolk,Shelter Island Town PD
Schoharie,Schoharie PCT (NYC-DEPP)
Broome,Vestal Town PD
Suffolk,Amityville Vg PD
Montgomery,St Johnsville Vg PD
Otsego,Otsego County State Police
Seneca,Interlaken Vg PD
Herkimer,Herkimer County Park PD
Greene,Greene County State Police
Onondaga,Skaneateles Vg PD
Cattaraugus,Allegany Vg PD
Columbia,Greenport Town PD
St Lawrence,St Lawrence County State Police
Cattaraugus,Cattaraugus County State Police
Jefferson,Sackets Harbor Vg PD
Cortland,Cortland City PD
Cortland,Cortland City PD
Nassau,Glen Cove City PD
Westchester,Pelham Vg PD
Cayuga,Auburn City PD
Ulster,Woodstock Town PD
Wyoming,Arcade Vg PD
Seneca,Seneca County Park PD
Steuben,Painted Post Vg PD
St Lawrence,St Lawrence County (RR-CSX)
Ulster,New Paltz Town and Vg PD
Rockland,Rockland County Sheriff
Suffolk,Quogue Vg PD
Columbia,Columbia County Sheriff
Oneida,Whitestown Town PD
Orange,Highlands Town PD
Oswego,Fulton City PD
Oneida,Utica City PD
Suffolk,Southampton Vg PD
St Lawrence,St Lawrence County Sheriff
Herkimer,Herkimer County State Police
Livingston,Nunda Town and Vg PD
Livingston,Dansville Vg PD
Seneca,Seneca County State Police
St Lawrence,St Lawrence County Sheriff
Rockland,Orangetown Town PD
Steuben,Hornell City PD
St Lawrence,St Lawrence County Sheriff
Chautauqua,Dunkirk City PD
Putnam,Putnam County MTA
St Lawrence,St Lawrence County State Police
Wayne,Sodus Vg PD
Rensselaer,Troy City PD
Chenango,Greene Vg PD
Allegany,Wellsville Vg PD
Westchester,Pleasantville Vg PD
Niagara,Lockport City PD
Delaware,Hancock Vg PD
Westchester,Eastchester Town PD
Onondaga,Marcellus Vg PD
Orange,Orange County MTA
Westchester,Hillview PCT (NYC-DEPP)
Montgomery,St Johnsville Vg PD
Erie,Depew Vg PD
Oneida,Oneida County State Police
Orleans,Albion Vg PD
St Lawrence,St Lawrence County Park PD
Ulster,Shawangunk Town PD
Cattaraugus,Cattaraugus County Sheriff
Westchester,Bedford Town PD
Westchester,Westchester County Park PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
Nassau,Malverne Vg PD
Rockland,Haverstraw Town PD
Westchester,Hillview PCT (NYC-DEPP)
Monroe,Brockport Vg PD
St Lawrence,St Lawrence County Sheriff
Orange,Orange County Sheriff
Allegany,Independence Town PD
Sullivan,Woodridge Vg PD
Chenango,Oxford Vg PD
Ulster,Ulster County Park PD
Steuben,Addison Vg PD
Rensselaer,Troy City PD
Westchester,Hastings-on-Hudson Vg PD
Wayne,Wayne County State Police
Suffolk,East Hampton Vg PD
Ulster,Ashokan PCT (NYC-DEPP)
Westchester,Mamaroneck Town PD
Delaware,Walton Vg PD
Sullivan,Sullivan County Park PD
Wyoming,Wyoming County Sheriff
Montgomery,Montgomery County Sheriff
Washington,Granville Vg PD
Westchester,Greenburgh Town PD
St Lawrence,St Lawrence County State Police
Erie,Lancaster Town PD
Jefferson,Carthage Vg PD
Westchester,Croton-Kensico PCT (NYC-DEPP)
Saratoga,South Glens Falls Vg PD
Jefferson,Adams Vg PD
